Date,Product_ID,Region,Supplier,Historical_Sales,Customer_Orders,Promotion,Seasonal_Factor,Inventory_Level,Production_Capacity,Production_Cost_Per_Unit,Selling_Price_Per_Unit,Available_Budget,Supplier_Lead_Time_Days,Supplier_Reliability,Delivery_Delay_Days,Machine_Utilization_Percent,Workforce_Availability_Percent,Market_Volatility,Predicted_Demand,Risk_Score,Risk_Level,Optimal_Production_Quantity,Expected_Revenue,Expected_Cost,Expected_Profit
2024-01-11,P004,South,Supplier_B,925.0,940,1,0.95,1121.0,612,426.03,568.42,327266.22,6,0.97,0.0,72.74,64.37,9.16,903,28.24,Low,612,347873.04,260730.36,87142.68
2024-01-12,P003,North,Supplier_C,568.0,709,1,0.95,811.0,941,599.95,892.24,802281.2,15,0.82,3.0,71.66,86.17,1.02,698,15.15,Low,698,622783.52,418765.1,204018.42
2024-01-13,P005,West,Supplier_A,621.0,637,0,0.95,392.0,634,479.48,744.33,872992.73,7,0.86,5.0,68.06,84.28,3.4,581,15.35,Low,559,416080.47,268029.32,148051.15
2024-01-14,P002,East,Supplier_C,490.0,515,0,0.95,564.0,1158,447.64,675.01,873190.5,14,0.65,7.0,66.45,78.91,8.2,422,38.35,Medium,422,284854.22,188904.08,95950.14
2024-01-15,P004,South,Supplier_A,791.0,824,1,0.95,856.0,813,413.14,555.17,537276.67,8,0.81,4.0,90.28,71.13,1.09,847,19.33,Low,813,451353.21,335882.82,115470.39
2024-01-16,P002,North,Supplier_C,556.0,681,0,0.95,492.0,1011,543.38,838.24,668934.64,6,0.84,3.0,61.47,76.16,1.09,542,9.87,Low,542,454326.08,294511.96,159814.12
2024-01-17,P004,South,Supplier_B,690.0,826,1,0.95,831.0,1004,425.41,575.48,639807.69,10,0.81,1.0,62.24,92.26,6.5,804,22.48,Low,804,462685.92,342029.64,120656.28
2024-01-18,P005,East,Supplier_C,458.0,583,0,0.95,802.0,1093,420.12,554.59,477525.29,15,0.88,1.0,77.87,90.46,8.1,441,26.42,Low,441,244574.19,185272.92,59301.27
2024-01-19,P001,North,Supplier_B,591.0,593,0,0.95,295.0,1257,696.69,1063.34,538641.92,4,0.86,2.0,68.75,89.55,7.99,510,23.78,Low,500,531670.0,348345.0,183325.0
2024-01-20,P004,South,Supplier_B,923.0,905,1,0.95,472.0,758,630.61,1000.85,291810.4,7,0.95,0.0,71.86,89.99,8.02,936,12.37,Low,462,462392.7,291341.82,171050.88
2024-01-21,P002,West,Supplier_B,302.0,383,0,0.95,271.0,1236,611.9,882.74,767204.37,4,0.91,2.0,87.26,65.76,4.25,296,18.2,Low,296,261291.04,181122.4,80168.64
2024-01-22,P005,North,Supplier_B,715.0,678,0,0.95,460.0,709,627.92,918.37,406522.28,5,0.92,8.0,91.15,63.96,8.94,638,37.8,Medium,638,585920.06,400612.96,185307.1
2024-01-23,P004,South,Supplier_A,506.0,493,0,0.95,750.0,1148,689.12,944.85,549342.77,8,0.67,5.0,86.62,94.46,1.12,408,26.92,Low,408,385498.8,281160.96,104337.84
2024-01-24,P001,East,Supplier_A,484.0,531,1,0.95,624.0,1388,550.65,797.26,562403.48,10,0.62,7.0,64.4,93.49,3.81,571,31.15,Low,571,455235.46,314421.15,140814.31
2024-01-25,P001,East,Supplier_A,747.0,749,0,0.95,719.0,1125,427.09,556.41,614462.63,8,0.61,4.0,94.2,87.25,4.03,695,32.71,Low,695,386704.95,296827.55,89877.4
2024-01-26,P003,North,Supplier_A,737.0,774,1,0.95,724.0,946,651.77,1063.91,781619.81,7,0.8,0.0,69.53,84.24,2.49,801,10.21,Low,801,852191.91,522067.77,330124.14
2024-01-27,P003,South,Supplier_C,626.0,685,0,0.95,496.0,1343,609.96,957.73,699722.68,16,0.75,4.0,61.76,74.67,4.03,524,19.74,Low,524,501850.52,319619.04,182231.48
2024-01-28,P002,North,Supplier_A,514.0,593,1,0.95,969.0,1235,495.01,751.02,680990.98,10,0.78,6.0,74.98,68.96,6.27,527,31.53,Low,527,395787.54,260870.27,134917.27
2024-01-29,P004,North,Supplier_C,708.0,862,1,0.95,531.0,878,515.75,755.72,592384.57,10,0.89,1.0,84.01,86.71,5.68,742,19.16,Low,742,560744.24,382686.5,178057.74
2024-01-30,P004,South,Supplier_A,530.0,554,0,0.95,221.0,1078,493.94,773.94,312371.24,11,0.8,2.0,58.33,96.52,3.87,465,12.24,Low,465,359882.1,229682.1,130200.0
2024-01-31,P003,South,Supplier_A,393.0,393,0,0.95,670.0,710,675.48,978.03,511305.51,13,0.7,7.0,80.37,77.48,7.74,295,33.9,Low,295,288518.85,199266.6,89252.25
2024-02-01,P004,West,Supplier_C,414.0,418,0,0.95,1082.0,1235,470.24,644.22,872255.95,15,0.86,3.0,89.32,72.13,7.43,384,34.72,Low,384,247380.48,180572.16,66808.32
2024-02-02,P004,South,Supplier_B,629.0,730,0,0.95,488.0,1030,687.22,903.11,897106.25,5,0.9,3.0,65.47,70.83,3.53,574,13.01,Low,574,518385.14,394464.28,123920.86
2024-02-03,P001,East,Supplier_B,574.0,607,0,0.95,813.0,1141,668.6,1008.94,724823.79,5,0.8,7.0,82.72,60.95,3.91,560,24.57,Low,560,565006.4,374416.0,190590.4
2024-02-04,P003,North,Supplier_B,447.0,556,0,0.95,189.0,714,570.68,925.51,397884.73,6,0.92,5.0,71.0,80.81,3.59,501,16.12,Low,501,463680.51,285910.68,177769.83
2024-02-05,P005,North,Supplier_B,709.0,870,0,0.95,723.0,689,552.94,725.15,316228.92,8,0.92,6.0,71.57,99.53,2.16,661,15.7,Low,571,414060.65,315728.74,98331.91
2024-02-06,P003,East,Supplier_A,547.0,534,0,0.95,1115.0,811,479.53,633.94,519596.83,14,0.68,2.0,66.23,92.61,7.78,448,30.43,Low,448,284005.12,214829.44,69175.68
2024-02-07,P005,South,Supplier_C,790.0,765,0,0.95,730.0,1149,356.42,507.34,806771.74,9,0.82,6.0,79.98,95.9,1.42,716,20.61,Low,716,363255.44,255196.72,108058.72
2024-02-08,P001,East,Supplier_C,752.0,742,0,0.95,319.0,1194,394.67,620.72,719211.76,10,0.7,10.0,69.44,84.85,2.36,664,28.79,Low,664,412158.08,262060.88,150097.2
2024-02-09,P002,East,Supplier_B,508.0,580,1,0.95,850.0,1138,613.98,839.66,824529.95,10,0.84,0.0,88.24,79.26,1.95,573,18.5,Low,573,481125.18,351810.54,129314.64
2024-02-10,P004,West,Supplier_A,349.0,434,0,0.95,660.0,1328,515.04,696.11,650254.6,10,0.71,5.0,93.52,99.62,8.43,378,45.44,Medium,378,263129.58,194685.12,68444.46
2024-02-11,P001,East,Supplier_B,247.0,345,0,0.95,733.0,959,402.44,602.85,334713.44,9,0.81,2.0,92.4,77.89,1.4,235,18.32,Low,235,141669.75,94573.4,47096.35
2024-02-12,P004,North,Supplier_A,314.0,361,0,0.95,1133.0,1085,442.39,647.77,324617.38,15,0.8,56.0,61.53,96.67,6.98,249,32.32,Low,249,161294.73,110155.11,51139.62
2024-02-13,P002,East,Supplier_A,723.0,700,1,0.95,608.0,971,681.74,868.6,281201.5,15,0.79,7.0,55.57,90.47,1.4,677,23.42,Low,412,357863.2,280876.88,76986.32
2024-02-14,P002,North,Supplier_A,556.0,619,1,0.95,678.0,814,478.5,613.72,618601.98,9,0.85,0.0,72.54,73.24,8.08,594,20.46,Low,594,364549.68,284229.0,80320.68
2024-02-15,P001,North,Supplier_B,487.0,502,1,0.95,490.0,1332,667.69,1006.35,407876.05,9,0.95,2.0,84.16,80.12,9.21,509,25.71,Low,509,512232.15,339854.21,172377.94
2024-02-16,P002,North,Supplier_C,719.0,806,1,0.95,206.0,614,456.62,655.73,727349.37,10,0.8,2.0,94.1,75.37,5.38,785,33.68,Low,422,276718.06,192693.64,84024.42
2024-02-17,P005,South,Supplier_B,358.0,442,0,0.95,367.0,858,540.13,884.94,696062.46,8,0.87,6.0,86.34,65.45,8.24,388,34.48,Low,388,343356.72,209570.44,133786.28
2024-02-18,P002,West,Supplier_B,825.0,963,1,0.95,768.0,1377,357.17,543.4,456771.98,6,0.86,4.0,78.22,74.27,7.36,917,25.64,Low,879,477648.6,313952.43,163696.17
2024-02-19,P004,North,Supplier_B,813.0,947,1,0.95,965.0,1062,532.66,667.97,364921.08,9,0.81,3.0,56.05,95.56,8.16,832,29.19,Low,685,457559.45,364872.1,92687.35
2024-02-20,P004,North,Supplier_A,,500,0,0.95,880.0,719,572.93,826.4,316560.23,11,0.68,4.0,88.02,90.11,7.9,349,40.68,Medium,349,288413.6,199952.57,88461.03
2024-02-21,P004,South,Supplier_B,806.0,814,1,0.95,613.0,727,432.01,611.63,729254.93,7,0.9,10.0,62.09,71.1,2.85,742,23.27,Low,727,444655.01,314071.27,130583.74
2024-02-22,P004,North,Supplier_C,807.0,829,0,0.95,396.0,1322,552.63,714.38,542786.65,14,0.86,3.0,57.22,74.72,5.5,722,20.62,Low,722,515782.36,398998.86,116783.5
2024-02-23,P005,East,Supplier_A,560.0,643,0,0.95,879.0,1122,576.51,933.53,460294.44,10,,2.0,89.01,84.66,9.64,552,44.45,Medium,552,515308.56,318233.52,197075.04
2024-02-24,P003,East,Supplier_C,685.0,830,0,0.95,522.0,1287,590.41,928.13,806824.46,14,0.84,0.0,77.65,76.65,4.09,630,15.21,Low,630,584721.9,371958.3,212763.6
2024-02-25,P001,West,Supplier_B,566.0,671,0,0.95,566.0,1244,621.74,834.4,635848.59,9,0.85,4.0,60.14,80.12,9.73,482,31.16,Low,482,402180.8,299678.68,102502.12
2024-02-26,P004,North,Supplier_B,588.0,651,1,0.95,517.0,924,458.97,620.71,586701.52,4,0.93,0.0,70.46,87.93,6.25,695,19.42,Low,670,415875.7,307509.9,108365.8
2024-02-27,P002,South,Supplier_B,386.0,433,0,0.95,708.0,919,548.72,692.93,733196.46,10,0.85,1.0,58.42,78.69,5.15,327,18.85,Low,327,226588.11,179431.44,47156.67
2024-02-28,P004,East,Supplier_B,795.0,872,0,0.95,257.0,1105,693.55,949.25,780129.04,9,0.93,4.0,80.52,67.64,23.27,726,23.02,Low,726,689155.5,503517.3,185638.2
2024-02-29,P002,South,Supplier_C,576.0,637,0,0.95,733.0,1125,664.35,985.79,695947.55,9,0.83,6.0,66.3,80.82,8.34,511,28.31,Low,511,503738.69,339482.85,164255.84
2024-03-01,P002,South,Supplier_C,911.0,957,1,0.95,988.0,649,683.43,969.33,536004.11,12,0.7,4.0,89.64,74.24,4.55,867,30.81,Low,649,629095.17,443546.07,185549.1
2024-03-02,P004,East,Supplier_B,437.0,407,0,0.95,567.0,1183,485.15,794.53,496544.22,7,0.86,6.0,69.31,71.63,1.3,402,19.13,Low,402,319401.06,195030.3,124370.76
2024-03-03,P005,South,Supplier_A,396.0,481,0,0.95,970.0,668,625.42,795.8,751582.21,8,0.61,5.0,74.79,73.12,7.38,312,38.32,Medium,312,248289.6,195131.04,53158.56
2024-03-04,P002,East,Supplier_B,733.0,802,1,0.95,832.0,990,566.96,842.83,586639.65,6,0.81,9.0,57.54,77.56,9.61,801,40.82,Medium,801,675106.83,454134.96,220971.87
2024-03-05,P002,South,Supplier_C,675.0,740,1,0.95,405.0,982,378.96,603.81,707850.95,14,0.77,6.0,66.02,95.46,6.62,717,30.53,Low,696,420251.76,263756.16,156495.6
2024-03-06,P004,East,Supplier_A,642.0,697,0,0.95,929.0,615,638.39,920.75,828759.21,11,0.61,8.0,82.07,89.36,2.7,575,33.74,Low,575,529431.25,367074.25,162357.0
2024-03-07,P002,North,Supplier_B,647.0,690,1,0.95,987.0,1038,586.99,734.43,845328.91,10,0.83,2.0,84.45,86.72,3.23,666,18.66,Low,666,489130.38,390935.34,98195.04
2024-03-08,P002,West,Supplier_B,863.0,905,1,0.95,1064.0,1167,419.62,565.28,430515.17,9,0.98,0.0,64.71,78.85,9.19,885,19.1,Low,885,500272.8,371363.7,128909.1
2024-03-09,P004,East,Supplier_B,918.0,897,1,0.95,384.0,1216,377.91,521.33,372128.47,7,0.86,0.0,75.15,60.07,1.12,874,6.59,Low,867,451993.11,327647.97,124345.14
2024-03-10,P004,East,Supplier_A,616.0,579,0,0.95,702.0,731,642.96,1052.14,419836.78,15,0.6,6.0,87.7,73.62,5.94,535,45.16,Medium,535,562894.9,343983.6,218911.3
2024-03-11,P001,West,Supplier_B,545.0,532,0,0.95,330.0,1159,377.62,609.75,738391.65,7,0.87,2.0,70.2,92.53,2.43,442,10.42,Low,442,269509.5,166908.04,102601.46
2024-03-12,P005,East,Supplier_C,554.0,545,0,0.95,306.0,847,381.97,622.48,490537.72,9,0.77,0.0,60.35,75.53,3.54,408,17.2,Low,408,253971.84,155843.76,98128.08
2024-03-13,P005,East,Supplier_A,699.0,706,0,0.95,720.0,872,499.59,789.5,362703.03,12,0.76,7.0,72.27,82.55,3.76,641,25.4,Low,641,506069.5,320237.19,185832.31
2024-03-14,P002,South,Supplier_A,742.0,812,0,0.95,1006.0,1222,397.18,552.34,313950.57,15,0.65,6.0,79.03,68.19,2.97,765,30.3,Low,765,422540.1,303842.7,118697.4
2024-03-15,P005,West,Supplier_C,434.0,503,0,0.95,1197.0,948,669.78,1079.92,462753.57,18,0.65,10.0,55.3,96.63,8.13,422,43.44,Medium,422,455726.24,282647.16,173079.08
2024-03-16,P002,North,Supplier_A,944.0,878,0,0.95,1097.0,1083,514.6,845.32,338488.69,11,0.81,1.0,68.94,96.93,3.99,812,18.21,Low,657,555375.24,338092.2,217283.04
2024-03-17,P001,East,Supplier_C,738.0,761,0,0.95,741.0,1149,549.2,763.4,351642.85,6,0.92,5.0,79.3,65.84,4.11,646,18.29,Low,640,488576.0,351488.0,137088.0
2024-03-18,P004,West,Supplier_B,687.0,867,0,0.95,283.0,956,674.84,913.88,694524.58,6,0.85,1.0,93.08,88.97,5.08,656,24.24,Low,398,363724.24,268586.32,95137.92
2024-03-19,P004,South,Supplier_A,774.0,715,1,0.95,570.0,1351,535.59,786.66,262825.86,10,0.7,5.0,71.34,63.01,9.12,740,38.14,Medium,490,385463.4,262439.1,123024.3
2024-03-20,P004,North,Supplier_C,364.0,438,0,0.95,362.0,917,473.76,627.67,326409.62,7,0.65,7.0,61.52,83.94,7.19,348,36.83,Medium,348,218429.16,164868.48,53560.68
2024-03-21,P005,West,Supplier_B,744.0,800,0,0.95,1049.0,1232,629.0,794.46,798837.57,9,0.84,3.0,76.37,67.15,1.56,593,10.99,Low,593,471114.78,372997.0,98117.78
2024-03-22,P001,North,Supplier_B,546.0,639,1,0.95,631.0,647,505.0,822.31,799194.16,7,0.82,4.0,66.43,65.83,1.35,512,10.67,Low,512,421022.72,258560.0,162462.72
2024-03-23,P005,North,Supplier_B,866.0,918,0,0.95,497.0,609,461.46,747.7,464008.26,10,0.91,0.0,63.59,60.16,6.1,801,13.35,Low,609,455349.3,281029.14,174320.16
2024-03-24,P005,North,Supplier_B,703.0,669,1,0.95,315.0,832,603.13,793.15,307169.46,7,0.96,0.0,,97.63,8.98,691,21.85,Low,509,403713.35,306993.17,96720.18
2024-03-25,P001,East,Supplier_A,700.0,791,1,0.95,1086.0,635,630.56,891.04,708230.72,14,0.66,6.0,91.64,93.17,3.91,705,42.94,Medium,635,565810.4,400405.6,165404.8
2024-03-26,P001,East,Supplier_B,578.0,728,0,0.95,497.0,1012,627.1,992.33,484085.6,10,0.9,0.0,88.41,63.1,3.23,525,17.12,Low,525,520973.25,329227.5,191745.75
2024-03-27,P001,South,Supplier_C,826.0,930,1,0.95,998.0,1061,692.19,1048.25,279552.01,7,0.88,4.0,62.29,83.98,7.73,838,22.27,Low,403,422444.75,278952.57,143492.18
2024-03-28,P001,South,Supplier_A,458.0,489,0,0.95,547.0,603,625.33,880.41,352587.54,10,0.85,0.0,85.64,69.32,6.42,396,24.32,Low,396,348642.36,247630.68,101011.68
2024-03-29,P004,West,Supplier_B,369.0,456,0,0.95,732.0,643,619.48,958.75,339189.63,7,0.96,4.0,64.19,70.56,6.09,400,22.01,Low,400,383500.0,247792.0,135708.0
2024-03-30,P003,South,Supplier_A,447.0,556,0,0.95,875.0,1167,650.12,1045.93,632925.62,15,0.85,3.0,66.63,94.97,2.34,390,20.19,Low,390,407912.7,253546.8,154365.9
2024-03-31,P003,North,Supplier_C,626.0,730,0,0.95,457.0,1153,350.06,567.26,833776.43,17,0.67,4.0,91.8,64.57,2.58,614,36.0,Medium,614,348297.64,214936.84,133360.8
2024-04-01,P001,North,Supplier_A,862.0,945,1,0.95,1140.0,854,476.85,668.32,765496.82,14,0.84,6.0,91.44,84.06,3.54,903,30.23,Low,854,570745.28,407229.9,163515.38
2024-04-02,P003,East,Supplier_C,589.0,626,0,0.95,947.0,1339,608.16,802.42,605235.43,14,0.82,8.0,61.75,76.05,2.86,523,24.65,Low,523,419665.66,318067.68,101597.98
2024-04-03,P003,North,Supplier_B,476.0,486,0,0.95,868.0,713,559.9,904.31,524400.86,4,0.98,0.0,57.57,67.63,9.74,446,18.11,Low,446,403322.26,249715.4,153606.86
2024-04-04,P001,West,Supplier_A,366.0,476,0,0.95,615.0,1348,412.15,530.45,652139.86,10,0.66,10.0,66.72,78.08,1.17,371,30.83,Low,371,196796.95,152907.65,43889.3
2024-04-05,P003,North,Supplier_A,760.0,782,0,0.95,248.0,996,456.31,702.11,538478.28,8,0.76,4.0,78.27,97.62,6.63,635,30.66,Low,436,306119.96,198951.16,107168.8
2024-04-06,P005,North,Supplier_A,589.0,731,0,0.95,307.0,773,467.88,611.14,409964.43,13,0.64,9.0,90.08,91.26,5.66,547,37.04,Medium,547,334293.58,255930.36,78363.22
2024-04-07,P002,West,Supplier_B,745.0,811,0,0.95,759.0,854,548.74,771.39,691478.35,4,0.93,0.0,59.75,65.28,3.91,695,11.05,Low,695,536116.05,381374.3,154741.75
2024-04-08,P002,South,Supplier_A,660.0,746,1,0.95,703.0,1065,641.06,906.86,817608.56,9,0.76,10.0,71.6,93.98,8.99,681,44.55,Medium,681,617571.66,436561.86,181009.8
2024-04-09,P001,South,Supplier_C,371.0,372,0,0.95,800.0,876,676.37,888.41,492365.71,14,0.66,9.0,65.87,97.5,7.03,343,36.9,Medium,343,304724.63,231994.91,72729.72
2024-04-10,P004,West,Supplier_B,660.0,599,0,0.95,1069.0,1063,612.53,991.73,797000.0,6,0.95,2.0,55.6,71.08,9.99,601,18.1,Low,601,596029.73,368130.53,227899.2
2024-04-11,P001,East,Supplier_A,968.0,865,0,0.95,376.0,1101,645.03,806.98,530203.33,7,0.62,0.0,86.54,73.34,2.52,822,25.06,Low,578,466434.44,372827.34,93607.1
2024-04-12,P004,North,Supplier_B,621.0,635,0,0.95,572.0,1040,514.53,827.12,510868.36,7,0.9,3.0,87.53,65.05,1.79,530,20.21,Low,530,438373.6,272700.9,165672.7
2024-04-13,P002,West,Supplier_B,942.0,990,1,0.95,392.0,668,486.42,779.99,268410.83,6,0.86,0.0,63.85,73.8,2.25,917,11.3,Low,551,429774.49,268017.42,161757.07
2024-04-14,P001,North,Supplier_A,972.0,892,0,0.95,679.0,1108,487.45,671.11,701931.29,11,0.64,,61.05,86.93,3.42,822,31.32,Low,811,544270.21,395321.95,148948.26
2024-04-15,P005,East,Supplier_A,592.0,641,0,0.95,520.0,925,565.61,866.35,774876.64,12,0.86,6.0,60.78,70.89,4.75,522,19.82,Low,522,452234.7,295248.42,156986.28
2024-04-16,P003,North,Supplier_A,665.0,781,0,0.95,801.0,1341,393.48,531.64,681312.0,12,,4.0,73.56,60.27,8.76,657,24.43,Low,657,349287.48,258516.36,90771.12
2024-04-17,P004,West,Supplier_B,731.0,741,1,0.95,838.0,666,552.82,858.81,348384.62,10,0.83,6.0,64.86,73.54,3.55,718,21.95,Low,630,541050.3,348276.6,192773.7
2024-04-18,P003,North,Supplier_B,491.0,513,0,0.95,883.0,903,582.8,859.31,317140.75,6,0.9,1.0,75.45,78.13,9.24,431,23.55,Low,431,370362.61,251186.8,119175.81
2024-04-19,P003,South,Supplier_B,450.0,522,0,0.95,241.0,1083,503.62,690.0,622358.19,10,0.91,0.0,70.39,82.65,5.17,445,16.5,Low,445,307050.0,224110.9,82939.1
2024-04-20,P001,East,Supplier_C,618.0,738,1,0.95,1195.0,1147,683.61,963.95,510985.57,15,0.66,4.0,63.44,87.35,6.82,664,33.56,Low,664,640062.8,453917.04,186145.76
2024-04-21,P003,East,Supplier_C,665.0,767,0,0.95,321.0,1016,562.87,858.91,528913.56,15,0.69,5.0,85.05,62.47,3.38,606,26.97,Low,426,365895.66,239782.62,126113.04
2024-04-22,P005,East,Supplier_B,638.0,652,1,0.95,328.0,758,427.0,688.51,879070.16,8,0.9,2.0,61.01,78.79,2.4,687,12.07,Low,683,470252.33,291641.0,178611.33
2024-04-23,P003,West,Supplier_C,443.0,561,1,0.95,387.0,748,517.73,674.23,720549.74,12,0.72,9.0,86.96,70.65,8.83,558,45.6,Medium,558,376220.34,288893.34,87327.0
2024-04-24,P001,East,Supplier_A,436.0,554,0,0.95,1026.0,626,586.39,867.0,517662.03,9,0.66,8.0,77.46,97.92,1.99,423,22.59,Low,423,366741.0,248042.97,118698.03
2024-04-25,P005,South,Supplier_A,365.0,473,0,0.95,1051.0,1183,463.27,626.11,262414.53,10,,11.0,88.28,74.4,7.97,412,44.64,Medium,412,257957.32,190867.24,67090.08
2024-04-26,P002,West,Supplier_A,796.0,831,0,0.95,429.0,847,377.87,593.46,272162.2,13,,3.0,55.19,64.0,6.23,722,30.79,Low,720,427291.2,272066.4,155224.8
2024-04-27,P003,South,Supplier_A,552.0,523,0,0.95,1192.0,700,554.2,708.32,695122.4,12,0.73,8.0,84.97,61.66,8.75,505,41.69,Medium,505,357701.6,279871.0,77830.6
2024-04-28,P001,North,Supplier_B,592.0,741,1,0.95,889.0,1301,681.75,1040.07,794530.19,10,0.93,4.0,57.06,70.62,7.46,731,23.67,Low,731,760291.17,498359.25,261931.92
2024-04-29,P002,North,Supplier_C,380.0,467,0,0.95,520.0,695,519.78,686.1,710006.71,11,0.75,4.0,93.0,67.16,3.53,338,32.05,Low,338,231901.8,175685.64,56216.16
2024-04-30,P002,North,Supplier_A,,474,0,0.95,1019.0,983,667.14,993.07,513827.04,12,0.62,4.0,83.11,85.99,6.17,337,35.89,Medium,337,334664.59,224826.18,109838.41
2024-05-01,P004,North,Supplier_A,785.0,734,1,0.95,1168.0,881,642.26,1017.52,270238.23,13,0.74,3.0,67.81,93.88,1.12,794,16.89,Low,420,427358.4,269749.2,157609.2
2024-05-02,P005,South,Supplier_B,749.0,819,0,0.95,370.0,921,401.59,623.28,878811.06,8,0.92,0.0,67.79,72.5,5.28,680,13.69,Low,676,421337.28,271474.84,149862.44
2024-05-03,P003,West,Supplier_C,704.0,766,0,0.95,1069.0,995,597.86,927.39,891118.44,13,0.81,9.0,89.46,83.11,1.77,610,29.96,Low,610,565707.9,364694.6,201013.3
2024-05-04,P001,West,Supplier_A,544.0,672,0,0.95,453.0,877,502.41,732.08,607086.96,15,0.86,5.0,91.11,89.21,4.86,510,28.82,Low,510,373360.8,256229.1,117131.7
2024-05-05,P004,East,Supplier_B,709.0,688,0,0.95,587.0,1128,437.59,702.9,295936.13,4,0.87,5.0,90.66,75.94,1.99,569,22.18,Low,569,399950.1,248988.71,150961.39
2024-05-06,P005,South,Supplier_A,646.0,627,1,0.95,524.0,862,590.43,876.93,601632.13,10,0.84,3.0,87.35,62.65,9.6,653,35.16,Medium,653,572635.29,385550.79,187084.5
2024-05-07,P004,North,Supplier_A,266.0,353,0,0.95,530.0,1218,609.93,986.26,830020.01,9,0.63,6.0,87.76,69.17,5.71,263,33.51,Low,263,259386.38,160411.59,98974.79
2024-05-08,P005,South,Supplier_C,632.0,798,0,0.95,1135.0,1179,412.96,606.48,691990.58,12,0.65,7.0,77.91,95.32,9.22,652,40.08,Medium,652,395424.96,269249.92,126175.04
2024-05-09,P005,East,Supplier_C,483.0,528,0,0.95,163.0,1239,670.06,973.19,717993.0,8,0.68,6.0,56.13,92.98,1.2,479,20.58,Low,343,333804.17,229830.58,103973.59
2024-05-10,P003,East,Supplier_A,700.0,718,0,0.95,892.0,892,612.9,820.64,305230.39,7,0.71,5.0,58.47,63.46,6.74,613,28.84,Low,498,408678.72,305224.2,103454.52
2024-05-11,P005,South,Supplier_C,623.0,585,0,0.95,818.0,893,676.68,993.31,319232.56,7,0.71,6.0,80.98,68.96,3.76,609,26.41,Low,471,467849.01,318716.28,149132.73
2024-05-12,P004,South,Supplier_B,653.0,652,0,0.95,649.0,1207,460.98,602.15,332776.7,7,0.96,0.0,71.05,90.77,4.89,537,7.36,Low,537,323354.55,247546.26,75808.29
2024-05-13,P005,South,Supplier_C,640.0,668,0,0.95,714.0,994,678.77,1084.59,837844.94,8,0.7,6.0,77.69,79.44,8.86,524,36.29,Medium,524,568325.16,355675.48,212649.68
2024-05-14,P003,West,Supplier_B,,906,1,0.95,679.0,1112,478.98,728.22,591802.26,6,0.93,1.0,64.24,90.4,9.82,752,24.38,Low,752,547621.44,360192.96,187428.48
2024-05-15,P003,North,Supplier_B,778.0,830,0,0.95,641.0,779,368.89,607.73,764523.81,6,0.9,0.0,80.98,68.44,3.22,665,14.33,Low,665,404140.45,245311.85,158828.6
2024-05-16,P004,South,Supplier_B,769.0,792,0,0.95,904.0,1292,617.04,794.03,324939.32,8,0.9,4.0,64.71,98.11,9.53,714,34.66,Low,526,417659.78,324563.04,93096.74
